Date,C,I,G,X,M,Y,Hrs_worked,Labor_prod,Tcomp_hour,K1,K2,K3,H
7/1/2006,886249,343905,401327,570299,507438,1688238,96.578,97.926,85.583,12737345.56,9121244.275,5365964.177,7618.52978
10/1/2006,895140,331988,404772,574500,507688,1694636,96.626,98.129,86.839,12890190.38,9225201.168,5429653.968,7622.316247
1/1/2007,902194,339629,407837,580424,518616,1705641,96.963,98.383,88.119,13028825.52,9334200.138,5497800.27,7648.900402
4/1/2007,915605,338518,410457,589454,526991,1722098,97.904,98.345,88.593,13173022.14,9439363.135,5561428.256,7723.130936
7/1/2007,923992,356094,416018,579187,539631,1729287,98.428,98.095,89.126,13313944.81,9559473.057,5639450.844,7764.466536
10/1/2007,940819,365496,416144,565207,549542,1731763,99.251,97.212,89.336,13470329.63,9685982.23,5722974.301,7829.388672
1/1/2008,948815,360865,421984,557307,551247,1732800,99.526,96.687,90.257,13633770.69,9804697.674,5797690.586,7851.081974
4/1/2008,950738,355917,429317,562057,555348,1738850,99.301,97.031,91.352,13790129.13,9915497.233,5863723.057,7833.332909
7/1/2008,951587,360670,428839,557666,540026,1753385,99.152,97.997,91.752,13939194.19,10028279.8,5931206.904,7821.579083
10/1/2008,940490,335036,435083,532084,506506,1733167,97.839,97.583,92.555,14090776.28,10112608.81,5969682.559,7718.003428
1/1/2009,937230,292003,435193,486269,457826,1693791,95.045,97.252,92.77,14214450.63,10151796.59,5963201.431,7497.599483
4/1/2009,944205,274554,440535,466606,450843,1675187,93.301,97.475,93.488,14293236.88,10172555.67,5939595.359,7360.024508
7/1/2009,953136,283806,448138,479058,479115,1682818,93.591,97.618,93.058,14353392.32,10202047.78,5926421.592,7382.901081
10/1/2009,959089,294998,456694,490729,497486,1702642,94.24,98.277,93.129,14421897.44,10241994.59,5925098.512,7434.097273
1/1/2010,969819,317076,460643,497317,519891,1722925,95.551,98.32,92.857,14500566.98,10303020.72,5945919.586,7537.515158
4/1/2010,978092,315460,461092,513474,534478,1731854,96.631,97.71,92.839,14600134.47,10360905.2,5964083.607,7622.710671
7/1/2010,986122,329767,462368,513459,544275,1744323,96.261,98.801,94.42,14696592.45,10431649.57,5995646.427,7593.523319
10/1/2010,995515,326649,464313,526052,546166,1764014,97.48,98.773,94.563,14805910.57,10497507.33,6022513.105,7689.683809
1/1/2011,997681,350277,462761,526680,558665,1777058,97.454,99.668,96.538,14910470.91,10585346.65,6071664.45,7687.632806
4/1/2011,1002404,363357,461427,518831,563872,1780486,97.693,99.542,97.02,15037090.85,10684069.98,6131438.228,7706.486257
7/1/2011,1006819,360982,459928,547823,568159,1805188,98.748,100.181,96.805,15174891.48,10777950.23,6185848.316,7789.709651
10/1/2011,1012971,369426,458195,554694,573649,1819505,98.88,100.989,97.902,15308250.11,10877927.48,6245981.9,7800.122436
1/1/2012,1018711,372040,460455,553658,584483,1820390,99.057,100.722,98.952,15448052.36,10978019.29,6305722.805,7814.085034
4/1/2012,1020136,377762,460179,554227,584456,1826526,100.133,99.864,99.283,15588371.57,11081330.81,6368198.665,7898.965007
7/1/2012,1026275,381880,461994,550427,590536,1829043,100.288,99.749,100.538,15732308,11186177.54,6431668.732,7911.19214
10/1/2012,1031819,381278,461015,549140,588585,1832849,100.523,99.673,101.211,15878203.38,11287801.1,6491363.295,7929.730053
1/1/2013,1038699,394216,456150,557354,595219,1849151,100.951,100.317,101.749,16021308.33,11399822.07,6561011.13,7963.492719
4/1/2013,1048135,394329,451328,567695,601174,1860009,101.139,100.858,102.148,16175204.7,11509155.52,6627289.574,7978.323049
7/1/2013,1055506,401585,452961,563563,598571,1875114,101.28,101.691,103.036,16326905.63,11623011.63,6697510.095,7989.445796
10/1/2013,1061873,409867,453986,571504,599738,1894842,101.412,102.82,104.028,16483587.05,11742303.34,6772501.59,7999.858581
1/1/2014,1064770,408163,454606,569060,595952,1897566,101.654,102.675,104.684,16646200.24,11856908.76,6842039.511,8018.948686
4/1/2014,1075035,401343,452600,603527,616181,1915253,101.052,104.495,106.642,16804670.24,11961829.04,6901280.535,7971.460077
7/1/2014,1082941,402557,453314,612524,618368,1933574,101.272,105.456,107.738,16953943.19,12065340.31,6958773.509,7988.814718
10/1/2014,1090498,411210,452525,615851,622959,1947258,101.537,105.978,107.798,17102191.04,12174916.81,7022044.833,8009.719172
1/1/2015,1092622,395399,459572,609152,619750,1936775,101.609,104.944,109.1,17256868.17,12265942.89,7066341.592,8015.398873
4/1/2015,1098220,380312,458205,617585,620901,1931657,102.258,103.707,108.97,17393414.15,12339606.31,7093336.512,8066.595065
7/1/2015,1106741,357110,460533,629962,613711,1938486,102.779,103.573,108.597,17512824.94,12388226.16,7095779.686,8107.694011
10/1/2015,1114628,355994,459893,625129,613885,1939812,102.765,103.489,108.795,17607242.56,12434514.5,7096984.702,8106.589625
1/1/2016,1117961,351602,462443,638553,616227,1951370,103.004,103.795,107.06,17699127.93,12475253.64,7093737.467,8125.443076
4/1/2016,1122548,359664,465998,612581,617030,1942547,102.54,103.352,107.473,17785243.01,12523036.3,7098714.594,8088.84056
7/1/2016,1131077,363971,464544,629660,624378,1963609,102.42,104.869,107.628,17878128.36,12573931.39,7107749.864,8079.374392
10/1/2016,1139552,344148,467255,633907,610534,1974968,103.032,104.962,107.81,17973927.44,12603731.11,7096510.371,8127.651849
1/1/2017,1150849,370960,470738,635269,632137,1994876,102.843,106.456,109.518,18048466.52,12659597.83,7112644.852,8112.742634
4/1/2017,1163833,374470,474415,644506,641263,2016402,104.042,106.555,109.032,18148699.53,12717577.88,7131482.61,8207.32543
7/1/2017,1173993,384269,479488,627124,643371,2022980,104.963,105.764,110.419,18250939.03,12783907.44,7159177.479,8279.978269
10/1/2017,1180548,383527,486604,635888,655380,2031532,105.123,106.033,112.452,18361443.95,12847836.75,7184745.605,8292.599826
1/1/2018,1184322,385558,488576,641560,662164,2039035,105.781,105.665,112.455,18469549.29,12912198.83,7211066.325,8344.505981
4/1/2018,1189985,381867,491586,660041,672179,2051832,106.041,105.994,112.244,18578064.05,12971260.86,7232380.009,8365.016012
7/1/2018,1193912,368469,494641,661402,656745,2062557,106.478,106.087,112.126,18681260.09,13015448.34,7239230.008,8399.48864
10/1/2018,1196999,367782,494226,661817,655652,2063887,106.836,105.659,113.064,18769510.19,13057844.13,7245050.508,8427.729375
1/1/2019,1205438,377662,497436,656361,669528,2066571,106.414,106.087,114.681,18855749.53,13109060.03,7260459.982,8394.440017
4/1/2019,1207085,366293,498498,677396,662654,2085470,107.247,106.301,115.704,18950575.29,13147626.53,7263729.983,8460.151
