Date,Y_N,M2_1,M2_2,M1_1,M1_11,cpi,cpi8,vM2_1,vM2_11,vM1_1,vM1_11,inflation,inflation8,vM2_1y2y,vM2_11y2y,vM1_1y2y,vM1_11y2y,M2_1y2y,M2_11y2y,M1_1y2y,M1_11y2y,Y_Ny2y,GBond1t3y,GBond3t5y,GBond5t10y,GBond10y,GBond1t3yy2y,GBond3t5yy2y,GBond5t10yy2y,GBond10yy2y
4/1/2001,1152848,730757.3333,1078531.667,249652.3333,309815,98.37,97.6,1.5776,1.0689,4.6178,3.7211,3.5801,2.3061,-1.360690084,-0.027739786,-0.045629854,-0.03289476,6.304603456,7.849859271,9.871549997,8.424732801,4.858127258,3.374075269,3.703878136,3.931046595,4.188759857,-21.63633791,-14.62115472,-8.401344295,-0.09070508
7/1/2001,1138776,736846.6667,1089314.333,251764,314933,98.47,98.16666667,1.5455,1.0454,4.5232,3.6159,2.7120,2.3992,-4.117215611,-0.05291689,-0.066271016,-0.064467401,5.882465645,7.195509256,8.728611777,8.518993695,1.52305624,2.964146953,3.372369176,3.642724014,3.964681004,-25.39185208,-15.56411678,-7.863328912,1.510992667
10/1/2001,1136616,758311.6667,1113754.667,261533,330869,97.57,98.2,1.4989,1.0205,4.3460,3.4352,1.0774,1.8320,-6.995343295,-0.069900487,-0.091370063,-0.103441062,7.869225572,7.863085073,10.41172961,11.89827983,0.323402933,2.252802867,2.984892473,3.508415771,3.940318996,-40.2739372,-20.96346962,-6.80673533,3.75014628
1/1/2002,1158688,775560,1135533,270988,344809,98.23,98.83333333,1.4940,1.0204,4.2758,3.3604,1.5507,2.0654,-7.06462291,-0.060404063,-0.099614844,-0.117081937,8.424740458,7.242845018,11.91315265,14.12717169,0.764941403,2.489508449,3.293460061,3.736394009,4.096013825,-28.38693072,-9.393574424,-1.03083031,1.608141592
4/1/2002,1185756,782006,1147552,275647,352995,99.7,99.7,1.5163,1.0333,4.3017,3.3591,1.3520,2.1516,-3.886060701,-0.03331761,-0.068451138,-0.097271472,7.013089617,6.399472122,10.41234677,13.93734971,2.854495996,2.778096774,3.423824373,3.787806452,4.109010753,-17.66346175,-7.56109551,-3.643816981,-1.903883409
7/1/2002,1204168,789570,1156713.333,278792,358808,100.77,100.5333333,1.5251,1.0410,4.3192,3.3560,2.3357,2.4109,-1.318609452,-0.004190528,-0.045090753,-0.071878389,7.155265229,6.18728662,10.73545066,13.9315199,5.742305774,2.326329749,2.864143369,3.33946595,3.803218638,-21.51773223,-15.07028976,-8.325035422,-4.072518456
10/1/2002,1226136,801595,1168875.333,283780.3333,365819,101.27,100.9666667,1.5296,1.0490,4.3207,3.3518,3.7921,2.8174,2.051082673,0.027889007,-0.005810712,-0.024303702,5.707855389,4.949085137,8.506510969,10.56310359,7.876010896,2.306806452,2.850659498,3.339842294,3.826243728,2.397173095,-4.497079078,-4.804831802,-2.895076996
1/1/2003,1250036,809275.3333,1175208,283059,368238,102.63,101.8333333,1.5446,1.0637,4.4162,3.3946,4.4793,3.0354,3.389184545,0.042415912,0.032830616,0.010195915,4.347224371,3.493953941,4.454440787,6.79487291,7.883744373,2.495741167,2.926386329,3.357799539,3.859873272,0.250359419,-11.14553466,-10.13261634,-5.765130761
4/1/2003,1237704,817583,1180615.333,283710.6667,370609,102.47,101.8666667,1.5139,1.0484,4.3626,3.3396,2.7783,2.1732,-0.161120962,0.014577948,0.014142702,-0.005800214,4.549453585,2.881205674,2.92535985,4.989966808,4.3810025,2.384913978,2.708870968,3.11909319,3.640663082,-14.15295534,-20.8817196,-17.65436725,-11.39806388
7/1/2003,1258352,828883,1195906.667,290214.3333,380641,102.87,102.2333333,1.5181,1.0522,4.3359,3.3059,2.0840,1.6910,-0.456600544,0.010749457,0.003867771,-0.014941513,4.979039224,3.388335917,4.097080739,6.08477135,4.49970436,2.109562724,2.615512545,3.144663082,3.680469534,-9.317983625,-8.680809315,-5.833353905,-3.227505848
